,country,Region,totalpap,totalpap_cap,totalnpap,totalnpap_cap,totalproviders,totalproviders_cap,physicians2015_cap,physiciancap_diff
73,Lithuania,European Region,851.0,31.0,0.0,0.0,851.0,31.0,19.0,2.0
74,Luxembourg,European Region,85.0,13.0,0.0,0.0,85.0,13.0,14.0,1.0
75,Madagascar,African Region,71.0,0.0,300.0,1.0,371.0,1.0,0.0,1.0
76,Malawi,African Region,10.0,0.0,166.0,1.0,176.0,1.0,0.0,1.0
77,Malaysia,Western Pacific Region,1100.0,3.0,185.0,1.0,1285.0,4.0,3.0,1.0
78,Maldives,South-East Asia Region,48.0,9.0,0.0,0.0,48.0,9.0,2.0,5.0
79,Mali,African Region,36.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0
80,Malta,European Region,93.0,18.0,0.0,0.0,93.0,18.0,21.0,1.0
81,Marshall Islands,Western Pacific Region,1.0,2.0,4.0,7.0,5.0,8.0,2.0,1.0
82,Mauritania,African Region,24.0,0.0,0.0,0.0,24.0,0.0,1.0,1.0
83,Mauritius,African Region,76.0,6.0,38.0,3.0,114.0,9.0,4.0,1.0
84,Mexico,Region of the Americas,9665.0,7.0,0.0,0.0,9665.0,7.0,6.0,1.0
85,Micronesia (Federated States of),Western Pacific Region,3.0,3.0,4.0,3.0,7.0,6.0,5.0,1.0
86,Moldova,European Region,420.0,16.0,0.0,0.0,420.0,16.0,12.0,1.0
87,Mongolia,Western Pacific Region,272.0,8.0,0.0,0.0,272.0,8.0,7.0,1.0
88,Montenegro,European Region,117.0,19.0,0.0,0.0,117.0,19.0,13.0,1.0
89,Morocco,Eastern Mediterranean Region,715.0,2.0,500.0,1.0,1215.0,3.0,2.0,1.0
90,Mozambique,African Region,35.0,0.0,157.0,0.0,192.0,1.0,0.0,0.0
91,Myanmar,South-East Asia Region,684.0,1.0,0.0,0.0,684.0,1.0,1.0,1.0
92,Namibia,African Region,54.0,2.0,0.0,0.0,54.0,2.0,2.0,1.0
93,Nauru,Western Pacific Region,1.0,9.0,0.0,0.0,1.0,9.0,10.0,1.0
94,Nepal,South-East Asia Region,400.0,1.0,0.0,0.0,400.0,1.0,1.0,2.0
95,Netherlands,European Region,0.0,0.0,2780.0,16.0,2780.0,16.0,14.0,0.0
96,New Zealand,Western Pacific Region,942.0,18.0,0.0,0.0,942.0,18.0,22.0,1.0
97,Nicaragua,Region of the Americas,250.0,4.0,450.0,7.0,700.0,10.0,4.0,1.0
98,Niger,African Region,160.0,1.0,150.0,1.0,310.0,1.0,0.0,9.0
99,Nigeria,African Region,550.0,0.0,850.0,0.0,1400.0,1.0,1.0,0.0
100,Niue,Western Pacific Region,1.0,,0.0,,1.0,,,
101,North Macedonia,European Region,237.0,36.0,0.0,0.0,237.0,36.0,,
102,Norway,European Region,1099.0,20.0,2000.0,37.0,3099.0,57.0,26.0,1.0
103,Oman,Eastern Mediterranean Region,304.0,6.0,0.0,0.0,304.0,6.0,6.0,1.0
104,Pakistan,Eastern Mediterranean Region,3393.0,1.0,0.0,0.0,3393.0,1.0,2.0,1.0
105,Palau,Western Pacific Region,2.0,11.0,1.0,6.0,3.0,17.0,10.0,1.0
106,Palestine,Eastern Mediterranean Region,133.0,3.0,0.0,0.0,133.0,3.0,7.0,0.0
107,Panama,Region of the Americas,400.0,9.0,0.0,0.0,400.0,9.0,10.0,1.0
108,Papua New Guinea,Western Pacific Region,103.0,1.0,79.0,1.0,182.0,2.0,1.0,2.0
109,Paraguay,Region of the Americas,310.0,4.0,80.0,1.0,390.0,5.0,5.0,1.0
110,Peru,Region of the Americas,2740.0,8.0,0.0,0.0,2740.0,8.0,2.0,5.0
111,Philippines,Western Pacific Region,2542.0,2.0,0.0,0.0,2542.0,2.0,3.0,1.0
112,Poland,European Region,12400.0,33.0,0.0,0.0,12400.0,33.0,17.0,2.0
113,Portugal,European Region,1542.0,15.0,0.0,0.0,1542.0,15.0,18.0,1.0
114,Romania,European Region,1159.0,6.0,0.0,0.0,1159.0,6.0,7.0,1.0
115,Russian Federation,European Region,39000.0,27.0,0.0,0.0,39000.0,27.0,21.0,1.0
116,Rwanda,African Region,30.0,0.0,280.0,2.0,310.0,2.0,0.0,1.0
117,Samoa,Western Pacific Region,4.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0
118,Saudi Arabia,Eastern Mediterranean Region,2372.0,7.0,0.0,0.0,2372.0,7.0,5.0,1.0
119,Senegal,African Region,108.0,1.0,128.0,1.0,236.0,1.0,1.0,1.0
120,Serbia,European Region,900.0,13.0,0.0,0.0,900.0,13.0,11.0,1.0
121,Sierra Leone,African Region,3.0,0.0,90.0,1.0,93.0,1.0,0.0,0.0
122,Singapore,Western Pacific Region,552.0,10.0,0.0,0.0,552.0,10.0,9.0,1.0
123,Slovenia,European Region,199.0,9.0,200.0,10.0,399.0,19.0,19.0,0.0
124,Solomon Islands,Western Pacific Region,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
125,Somalia,Eastern Mediterranean Region,36.0,0.0,0.0,0.0,36.0,0.0,0.0,inf
126,Somaliland,Eastern Mediterranean Region,0.0,,60.0,,60.0,,6.0,
127,South Africa,African Region,1750.0,3.0,218.0,0.0,1968.0,3.0,16.0,0.0
128,Spain,European Region,7176.0,15.0,86.0,0.0,7262.0,15.0,16.0,1.0
129,Sri Lanka,South-East Asia Region,948.0,4.0,0.0,0.0,948.0,4.0,2.0,2.0
130,Sudan,Eastern Mediterranean Region,350.0,1.0,1700.0,4.0,2050.0,4.0,0.0,2.0
131,Swaziland,African Region,7.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0
132,Sweden,European Region,1947.0,19.0,5150.0,49.0,7097.0,68.0,22.0,1.0
133,Switzerland,European Region,656.0,7.0,1267.0,14.0,1922.0,22.0,31.0,0.0
134,Syrian Arab Republic,Eastern Mediterranean Region,450.0,2.0,0.0,0.0,450.0,2.0,3.0,1.0
135,"Taiwan, Republic of China",Western Pacific Region,0.0,,4000.0,,4000.0,,,
136,Tanzania,African Region,1570.0,2.0,1700.0,3.0,3270.0,5.0,0.0,27.0
137,Thailand,South-East Asia Region,1167.0,2.0,4133.0,6.0,5300.0,8.0,2.0,1.0
138,Timor-Leste,South-East Asia Region,7.0,1.0,19.0,1.0,26.0,2.0,1.0,0.0
